official	officials
member	members
doe	does
woman	women
child	children
game	games
leader	leaders
player	players
medium	media
worker	workers
student	students
authority	authorities
soldier	soldiers
investor	investors
charge	charges
case	cases
reporter	reporters
sport	sports
stock	stocks
party	parties
analyst	analysts
life	lives
officer	officers
resident	residents
democrat	democrats
friend	friends
parent	parents
voter	voters
fan	fans
victim	victims
expert	experts
foot	feet
employee	employees
hand	hands
republican	republicans
hope	hopes
study	studies
militant	militants
candidate	candidates
minister	ministers
supporter	supporters
name	names
star	stars
citizen	citizens
patient	patients
representative	representatives
customer	customers
champion	champions
second	seconds
lawyer	lawyers
critic	critics
prosecutor	prosecutors
doctor	doctors
civilian	civilians
kid	kids
poll	polls
refugee	refugees
passenger	passengers
face	faces
girl	girls
brother	brothers
plant	plants
head	heads
consumer	consumers
individual	individuals
journalist	journalists
artist	artists
agent	agents
executive	executives
boy	boys
prisoner	prisoners
character	characters
scientist	scientists
material	materials
ally	allies
partner	partners
farmer	farmers
owner	owners
investigator	investigators
guy	guys
visitor	visitors
shot	shots
suspect	suspects
politician	politicians
witness	witnesses
animal	animals
end	ends
client	clients
teacher	teachers
user	users
immigrant	immigrants
writer	writers
letter	letters
tourist	tourists
model	models
terrorist	terrorists
center	centers
judge	judges
tree	trees
serf	serves
dealer	dealers
giant	giants
relative	relatives
son	sons
winner	winners
athlete	athletes
rival	rivals
driver	drivers
diplomat	diplomats
import	imports
casualty	casualties
producer	producers
guard	guards
trader	traders
director	directors
male	males
bird	birds
colleague	colleagues
participant	participants
insurgent	insurgents
observer	observers
female	females
manufacturer	manufacturers
master	masters
neighbor	neighbors
delegate	delegates
adult	adults
inspector	inspectors
survivor	survivors
aide	aides
gunman	gunmen
veteran	veterans
economist	economists
pilot	pilots
page	pages
coach	coaches
host	hosts
machine	machines
editor	editors
tiger	tigers
maker	makers
actor	actors
dog	dogs
guerrilla	guerrillas
president	presidents
rocket	rockets
senator	senators
foreigner	foreigners
king	kings
date	dates
hostage	hostages
guest	guests
person	persons
conservative	conservatives
double	doubles
quarter	quarters
blue	blues
daughter	daughters
engineer	engineers
peacekeeper	peacekeepers
count	counts
flower	flowers
volunteer	volunteers
organizer	organizers
settler	settlers
marine	marines
demonstrator	demonstrators
buyer	buyers
employer	employers
bear	bears
light	lights
dodger	dodgers
advocate	advocates
scholar	scholars
angel	angels
regulator	regulators
wing	wings
musician	musicians
commander	commanders
detainee	detainees
sister	sisters
reader	readers
subject	subjects
instrument	instruments
horse	horses
associate	associates
inhabitant	inhabitants
carrier	carriers
defendant	defendants
policeman	policemen
contact	contacts
bomber	bombers
donor	donors
pirate	pirates
operator	operators
legislator	legislators
cowboy	cowboys
bag	bags
enemy	enemies
retailer	retailers
follower	followers
patriot	patriots
rock	rocks
criminal	criminals
inmate	inmates
crop	crops
adviser	advisers
national	nationals
extremist	extremists
traveler	travelers
teammate	teammates
villager	villagers
connection	connections
governor	governors
professional	professionals
deputy	deputies
cardinal	cardinals
lion	lions
miner	miners
box	boxes
back	backs
priest	priests
suit	suits
mother	mothers
eagle	eagles
voice	voices
negotiator	negotiators
bull	bulls
bishop	bishops
saint	saints
speaker	speakers
ray	rays
monitor	monitors
runner	runners
hero	heroes
juror	jurors
brave	braves
rider	riders
twin	twins
baby	babies
taxpayer	taxpayers
banker	bankers
defender	defenders
communist	communists
developer	developers
ass	assess
provider	providers
contractor	contractors
queen	queens
warrior	warriors
attacker	attackers
prayer	prayers
subscriber	subscribers
historian	historians
bruin	bruins
vegetable	vegetables
permit	permits
specialist	specialists
world	worlds
publisher	publishers
performer	performers
grade	grades
designer	designers
general	generals
fisherman	fishermen
cub	cubs
sailor	sailors
drum	drums
lady	ladies
holder	holders
exporter	exporters
celebrity	celebrities
slave	slaves
migrant	migrants
supplier	suppliers
monk	monks
nurse	nurses
stroke	strokes
nazi	nazis
major	majors
lender	lenders
loser	losers
separatist	separatists
rescuer	rescuers
failure	failures
pledge	pledges
pilgrim	pilgrims
spectator	spectators
bronco	broncos
cat	cats
singer	singers
wife	wives
servant	servants
grandchild	grandchildren
mariner	mariners
architect	architects
creditor	creditors
ash	ashes
bat	bats
seller	sellers
descendant	descendants
ruler	rulers
senior	seniors
liberal	liberals
shark	sharks
dolphin	dolphins
astronaut	astronauts
pitcher	pitchers
satellite	satellites
alumnus	alumni
bean	beans
founder	founders
fly	flies
recipient	recipients
plaintiff	plaintiffs
sort	sorts
dancer	dancers
merchant	merchants
duck	ducks
hawk	hawks
islander	islanders
respondent	respondents
father	fathers
shopper	shoppers
socialist	socialists
trustee	trustees
peer	peers
ambassador	ambassadors
administrator	administrators
transfer	transfers
killer	killers
starter	starters
falcon	falcons
professor	professors
panther	panthers
lover	lovers
tomato	tomatoes
catch	catches
entrepreneur	entrepreneurs
scout	scouts
homeowner	homeowners
nationalist	nationalists
layer	layers
ram	rams
applicant	applicants
classic	classics
kidnapper	kidnappers
recruit	recruits
creature	creatures
fare	fares
sibling	siblings
god	gods
environmentalist	environmentalists
militiaman	militiamen
potato	potatoes
commissioner	commissioners
colt	colts
knight	knights
seeker	seekers
hunter	hunters
guide	guides
insect	insects
personality	personalities
gainer	gainers
photographer	photographers
royal	royals
talent	talents
packer	packers
tackle	tackles
collector	collectors
detective	detectives
mouse	mice
contestant	contestants
buck	bucks
lobbyist	lobbyists
foe	foes
elder	elders
marlin	marlins
wolf	wolves
sun	suns
maverick	mavericks
chicken	chickens
finalist	finalists
composer	composers
advertiser	advertisers
whale	whales
boss	bosses
forward	forwards
rover	rovers
ancestor	ancestors
broadcaster	broadcasters
poet	poets
commentator	commentators
striker	strikers
cow	cows
penguin	penguins
pill	pills
dragon	dragons
rose	roses
builder	builders
cleric	clerics
missionary	missionaries
arrival	arrivals
brake	brakes
predecessor	predecessors
qualifier	qualifiers
borrower	borrowers
serviceman	servicemen
contributor	contributors
martyr	martyrs
mayor	mayors
peasant	peasants
receiver	receivers
laborer	laborers
predator	predators
envoy	envoys
diver	divers
elephant	elephants
loyalist	loyalists
outsider	outsiders
technician	technicians
spy	spies
thief	thieves
mammal	mammals
larva	larvae
brewer	brewers
tenant	tenants
virus	viruses
pain	pains
commando	commandos
pet	pets
seal	seals
grape	grapes
rat	rats
shadow	shadows
patron	patrons
smuggler	smugglers
server	servers
surgeon	surgeons
umpire	umpires
planner	planners
perpetrator	perpetrators
stranger	strangers
retiree	retirees
smoker	smokers
grandparent	grandparents
generator	generators
accessory	accessories
scorer	scorers
newcomer	newcomers
jay	jays
bowler	bowlers
ideal	ideals
intellectual	intellectuals
cousin	cousins
charger	chargers
radical	radicals
ace	aces
bodyguard	bodyguards
batter	batters
oak	oaks
prostitute	prostitutes
organism	organisms
supervisor	supervisors
combatant	combatants
counter	counters
bug	bugs
raven	ravens
warlord	warlords
mourner	mourners
assistant	assistants
mediator	mediators
oiler	oilers
ma	mas
captive	captives
constituent	constituents
hitter	hitters
dam	dams
pioneer	pioneers
beneficiary	beneficiaries
practitioner	practitioners
trainer	trainers
pacer	pacers
onion	onions
affiliate	affiliates
referee	referees
monster	monsters
educator	educators
distributor	distributors
drill	drills
apple	apples
quarterback	quarterbacks
attendant	attendants
grain	grains
native	natives
breeder	breeders
forecaster	forecasters
swimmer	swimmers
husband	husbands
mate	mates
prince	princes
diamondback	diamondbacks
nun	nuns
fence	fences
blade	blades
embryo	embryos
brick	bricks
insider	insiders
monkey	monkeys
birth	births
correspondent	correspondents
skier	skiers
bulldog	bulldogs
snake	snakes
pillar	pillars
chef	chefs
believer	believers
captor	captors
junior	juniors
painter	painters
heir	heirs
processor	processors
escape	escapes
commuter	commuters
spouse	spouses
wildcat	wildcats
rod	rods
watcher	watchers
medic	medics
companion	companions
hornet	hornets
secretary	secretaries
ward	wards
snail	snails
golfer	golfers
orphan	orphans
captain	captains
freshman	freshmen
bandit	bandits
enthusiast	enthusiasts
bidder	bidders
tanker	tankers
slip	slips
kit	kits
auditor	auditors
coyote	coyotes
herb	herbs
square	squares
spokesman	spokesmen
demon	demons
pepper	peppers
dinosaur	dinosaurs
frog	frogs
wanderer	wanderers
cavalier	cavaliers
exile	exiles
cook	cooks
turtle	turtles
destroyer	destroyers
strategist	strategists
cadet	cadets
addict	addicts
compatriot	compatriots
fugitive	fugitives
robber	robbers
creator	creators
man	mans
bee	bees
skater	skaters
gentleman	gentlemen
rail	rails
magistrate	magistrates
mushroom	mushrooms
bureaucrat	bureaucrats
cyclist	cyclists
mercenary	mercenaries
moth	moths
astronomer	astronomers
actress	actresses
homosexual	homosexuals
goat	goats
wrestler	wrestlers
climber	climbers
convict	convicts
successor	successors
principal	principals
taker	takers
invader	invaders
fundamentalist	fundamentalists
voucher	vouchers
westerner	westerners
superior	superiors
reformer	reformers
collaborator	collaborators
congressman	congressmen
jaguar	jaguars
landowner	landowners
promoter	promoters
tribesman	tribesmen
dock	docks
convert	converts
pine	pines
marcher	marchers
rioter	rioters
grader	graders
worm	worms
lesbian	lesbians
fellow	fellows
speculator	speculators
psychologist	psychologists
banana	bananas
rabbi	rabbis
accountant	accountants
trooper	troopers
wallaby	wallabies
printer	printers
villain	villains
contemporary	contemporaries
pedestrian	pedestrians
parliamentarian	parliamentarians
knot	knots
countryman	countrymen
regent	regents
explorer	explorers
programmer	programmers
stakeholder	stakeholders
hybrid	hybrids
attache	attaches
skeptic	skeptics
campaigner	campaigners
hire	hires
clerk	clerks
longhorn	longhorns
heavyweight	heavyweights
murderer	murderers
marshal	marshals
hacker	hackers
advancer	advancers
grizzly	grizzlies
counselor	counselors
ant	ants
teamster	teamsters
crane	cranes
importer	importers
incumbent	incumbents
adversary	adversaries
siren	sirens
peanut	peanuts
regular	regulars
cairn	cairns
tail	tails
recorder	recorders
racer	racers
anchor	anchors
reviewer	reviewers
butterfly	butterflies
gibbon	gibbons
suicide	suicides
ordinary	ordinaries
disciple	disciples
biologist	biologists
palm	palms
evacuee	evacuees
vine	vines
jewel	jewels
duke	dukes
accomplice	accomplices
partisan	partisans
caller	callers
mouth	mouths
pea	peas
bystander	bystanders
mosquito	mosquitoes
appointee	appointees
boxer	boxers
flier	fliers
beetle	beetles
rancher	ranchers
monarch	monarchs
buddy	buddies
entrant	entrants
detractor	detractors
sniper	snipers
brother	brethren
surfer	surfers
adolescent	adolescents
hardliner	hardliners
widow	widows
blogger	bloggers
carrot	carrots
assassin	assassins
rape	rapes
handler	handlers
martin	martins
philosopher	philosophers
gangster	gangsters
parishioner	parishioners
weed	weeds
spider	spiders
soprano	sopranos
landlord	landlords
amateur	amateurs
shrub	shrubs
keeper	keepers
pen	pens
goalkeeper	goalkeepers
substitute	substitutes
onlooker	onlookers
wasp	wasps
chick	chicks
springbok	springboks
shooter	shooters
pollster	pollsters
sympathizer	sympathizers
juvenile	juveniles
stockholder	stockholders
diner	diners
grip	grips
lieutenant	lieutenants
housewife	housewives
olive	olives
reservist	reservists
admirer	admirers
dean	deans
cricketer	cricketers
pickup	pickups
hiker	hikers
bay	bays
oat	oats
finisher	finishers
subordinate	subordinates
violator	violators
reptile	reptiles
owl	owls
orange	oranges
rabbit	rabbits
avenger	avengers
drone	drones
medalist	medalists
thrasher	thrashers
paramedic	paramedics
comedian	comedians
emperor	emperors
conductor	conductors
baron	barons
rush	rushes
clone	clones
crab	crabs
scanner	scanners
thinker	thinkers
escort	escorts
eyewitness	eyewitnesses
cougar	cougars
goose	geese
entertainer	entertainers
songwriter	songwriters
great	greats
paratrooper	paratroopers
clove	cloves
argentine	argentines
fool	fools
stunt	stunts
hog	hogs
oyster	oysters
earner	earners
